# Exported benchmark-v2 candidate prompts
# Status: candidate_v2; not clean-source-gated yet
# Format: <prompt> | <target> | <effect>

A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with smooth wet mud, with no pre-existing track. A clearly visible bicycle tire enters the frame and remains visible before contact. The bicycle tire rolls straight through the mud after a short still beginning, causing a dark tire track remains in the mud; the effect begins only after contact and remains visible for several frames. | bicycle tire | a dark tire track remains in the mud
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with smooth wet mud, with no pre-existing track. A clearly visible bicycle tire enters the frame and remains visible before contact. The bicycle tire rolls straight through the mud after the surface is shown clean, causing a dark tire track remains in the mud; the effect begins only after contact and remains visible for several frames. | bicycle tire | a dark tire track remains in the mud
A realistic fixed-camera close-up video from a side close-up view. The scene starts with smooth wet mud, with no pre-existing track. A clearly visible bicycle tire enters the frame and remains visible before contact. The bicycle tire rolls straight through the mud after the target is clearly visible, causing a dark tire track remains in the mud; the effect begins only after contact and remains visible for several frames. | bicycle tire | a dark tire track remains in the mud
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with smooth wet mud, with no pre-existing track. A clearly visible bicycle tire enters the frame and remains visible before contact. The bicycle tire rolls straight through the mud only after the visible contact moment, causing a dark tire track remains in the mud; the effect begins only after contact and remains visible for several frames. | bicycle tire | a dark tire track remains in the mud
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper in the middle of the clip, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames. | rubber stamp | a square ink stamp mark remains on the paper
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper after a short still beginning, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames. | rubber stamp | a square ink stamp mark remains on the paper
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper after the surface is shown clean, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames. | rubber stamp | a square ink stamp mark remains on the paper
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper after the target is clearly visible, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames. | rubber stamp | a square ink stamp mark remains on the paper
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a blank white paper sheet, with no pre-existing ink mark. A clearly visible rubber stamp enters the frame and remains visible before contact. The rubber stamp presses onto the paper only after the visible contact moment, causing a square ink stamp mark remains on the paper; the effect begins only after contact and remains visible for several frames. | rubber stamp | a square ink stamp mark remains on the paper
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a smooth clay tablet, with no pre-existing groove. A clearly visible wooden pencil enters the frame and remains visible before contact. The wooden pencil drags across the clay in the middle of the clip, causing a thin groove remains in the clay; the effect begins only after contact and remains visible for several frames. | wooden pencil | a thin groove remains in the clay
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a smooth clay tablet, with no pre-existing groove. A clearly visible wooden pencil enters the frame and remains visible before contact. The wooden pencil drags across the clay after a short still beginning, causing a thin groove remains in the clay; the effect begins only after contact and remains visible for several frames. | wooden pencil | a thin groove remains in the clay
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a smooth clay tablet, with no pre-existing groove. A clearly visible wooden pencil enters the frame and remains visible before contact. The wooden pencil drags across the clay after the surface is shown clean, causing a thin groove remains in the clay; the effect begins only after contact and remains visible for several frames. | wooden pencil | a thin groove remains in the clay
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth clay tablet, with no pre-existing groove. A clearly visible wooden pencil enters the frame and remains visible before contact. The wooden pencil drags across the clay after the target is clearly visible, causing a thin groove remains in the clay; the effect begins only after contact and remains visible for several frames. | wooden pencil | a thin groove remains in the clay
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a smooth clay tablet, with no pre-existing groove. A clearly visible wooden pencil enters the frame and remains visible before contact. The wooden pencil drags across the clay only after the visible contact moment, causing a thin groove remains in the clay; the effect begins only after contact and remains visible for several frames. | wooden pencil | a thin groove remains in the clay
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a flat layer of white flour, with no pre-existing track. A clearly visible toy car wheel enters the frame and remains visible before contact. The toy car wheel rolls across the flour in the middle of the clip, causing two parallel wheel tracks remain in the flour; the effect begins only after contact and remains visible for several frames. | toy car wheel | two parallel wheel tracks remain in the flour
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a flat layer of white flour, with no pre-existing track. A clearly visible toy car wheel enters the frame and remains visible before contact. The toy car wheel rolls across the flour after a short still beginning, causing two parallel wheel tracks remain in the flour; the effect begins only after contact and remains visible for several frames. | toy car wheel | two parallel wheel tracks remain in the flour
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a flat layer of white flour, with no pre-existing track. A clearly visible toy car wheel enters the frame and remains visible before contact. The toy car wheel rolls across the flour after the surface is shown clean, causing two parallel wheel tracks remain in the flour; the effect begins only after contact and remains visible for several frames. | toy car wheel | two parallel wheel tracks remain in the flour
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a flat layer of white flour, with no pre-existing track. A clearly visible toy car wheel enters the frame and remains visible before contact. The toy car wheel rolls across the flour after the target is clearly visible, causing two parallel wheel tracks remain in the flour; the effect begins only after contact and remains visible for several frames. | toy car wheel | two parallel wheel tracks remain in the flour
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a flat layer of white flour, with no pre-existing track. A clearly visible toy car wheel enters the frame and remains visible before contact. The toy car wheel rolls across the flour only after the visible contact moment, causing two parallel wheel tracks remain in the flour; the effect begins only after contact and remains visible for several frames. | toy car wheel | two parallel wheel tracks remain in the flour
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with fresh white snow, with no pre-existing paw print. A clearly visible dog paw enters the frame and remains visible before contact. The dog paw steps down and lifts away in the middle of the clip, causing a paw print remains in the snow; the effect begins only after contact and remains visible for several frames. | dog paw | a paw print remains in the snow
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with fresh white snow, with no pre-existing paw print. A clearly visible dog paw enters the frame and remains visible before contact. The dog paw steps down and lifts away after a short still beginning, causing a paw print remains in the snow; the effect begins only after contact and remains visible for several frames. | dog paw | a paw print remains in the snow
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with fresh white snow, with no pre-existing paw print. A clearly visible dog paw enters the frame and remains visible before contact. The dog paw steps down and lifts away after the surface is shown clean, causing a paw print remains in the snow; the effect begins only after contact and remains visible for several frames. | dog paw | a paw print remains in the snow
A realistic fixed-camera close-up video from a side close-up view. The scene starts with fresh white snow, with no pre-existing paw print. A clearly visible dog paw enters the frame and remains visible before contact. The dog paw steps down and lifts away after the target is clearly visible, causing a paw print remains in the snow; the effect begins only after contact and remains visible for several frames. | dog paw | a paw print remains in the snow
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with fresh white snow, with no pre-existing paw print. A clearly visible dog paw enters the frame and remains visible before contact. The dog paw steps down and lifts away only after the visible contact moment, causing a paw print remains in the snow; the effect begins only after contact and remains visible for several frames. | dog paw | a paw print remains in the snow
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a blank white canvas, with no pre-existing paint stroke. A clearly visible paintbrush enters the frame and remains visible before contact. The paintbrush swipes across the canvas in the middle of the clip, causing a red paint stroke remains on the canvas; the effect begins only after contact and remains visible for several frames. | paintbrush | a red paint stroke remains on the canvas
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a blank white canvas, with no pre-existing paint stroke. A clearly visible paintbrush enters the frame and remains visible before contact. The paintbrush swipes across the canvas after a short still beginning, causing a red paint stroke remains on the canvas; the effect begins only after contact and remains visible for several frames. | paintbrush | a red paint stroke remains on the canvas
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a blank white canvas, with no pre-existing paint stroke. A clearly visible paintbrush enters the frame and remains visible before contact. The paintbrush swipes across the canvas after the surface is shown clean, causing a red paint stroke remains on the canvas; the effect begins only after contact and remains visible for several frames. | paintbrush | a red paint stroke remains on the canvas
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a blank white canvas, with no pre-existing paint stroke. A clearly visible paintbrush enters the frame and remains visible before contact. The paintbrush swipes across the canvas after the target is clearly visible, causing a red paint stroke remains on the canvas; the effect begins only after contact and remains visible for several frames. | paintbrush | a red paint stroke remains on the canvas
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a blank white canvas, with no pre-existing paint stroke. A clearly visible paintbrush enters the frame and remains visible before contact. The paintbrush swipes across the canvas only after the visible contact moment, causing a red paint stroke remains on the canvas; the effect begins only after contact and remains visible for several frames. | paintbrush | a red paint stroke remains on the canvas
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board in the middle of the clip, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames. | marker pen | a black line remains on the whiteboard
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board after a short still beginning, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames. | marker pen | a black line remains on the whiteboard
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board after the surface is shown clean, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames. | marker pen | a black line remains on the whiteboard
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board after the target is clearly visible, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames. | marker pen | a black line remains on the whiteboard
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames. | marker pen | a black line remains on the whiteboard
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a smooth wax tablet, with no pre-existing impression. A clearly visible coin edge enters the frame and remains visible before contact. The coin edge presses into the wax in the middle of the clip, causing a round coin impression remains in the wax; the effect begins only after contact and remains visible for several frames. | coin edge | a round coin impression remains in the wax
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a smooth wax tablet, with no pre-existing impression. A clearly visible coin edge enters the frame and remains visible before contact. The coin edge presses into the wax after a short still beginning, causing a round coin impression remains in the wax; the effect begins only after contact and remains visible for several frames. | coin edge | a round coin impression remains in the wax
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a smooth wax tablet, with no pre-existing impression. A clearly visible coin edge enters the frame and remains visible before contact. The coin edge presses into the wax after the surface is shown clean, causing a round coin impression remains in the wax; the effect begins only after contact and remains visible for several frames. | coin edge | a round coin impression remains in the wax
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth wax tablet, with no pre-existing impression. A clearly visible coin edge enters the frame and remains visible before contact. The coin edge presses into the wax after the target is clearly visible, causing a round coin impression remains in the wax; the effect begins only after contact and remains visible for several frames. | coin edge | a round coin impression remains in the wax
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a smooth wax tablet, with no pre-existing impression. A clearly visible coin edge enters the frame and remains visible before contact. The coin edge presses into the wax only after the visible contact moment, causing a round coin impression remains in the wax; the effect begins only after contact and remains visible for several frames. | coin edge | a round coin impression remains in the wax
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil in the middle of the clip, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames. | garden rake | parallel grooves remain in the soil
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after a short still beginning, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames. | garden rake | parallel grooves remain in the soil
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the surface is shown clean, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames. | garden rake | parallel grooves remain in the soil
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames. | garden rake | parallel grooves remain in the soil
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil only after the visible contact moment, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames. | garden rake | parallel grooves remain in the soil
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a smooth ice surface, with no pre-existing scratch. A clearly visible ice skate blade enters the frame and remains visible before contact. The ice skate blade scrapes across the ice in the middle of the clip, causing a bright scratch line remains in the ice; the effect begins only after contact and remains visible for several frames. | ice skate blade | a bright scratch line remains in the ice
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a smooth ice surface, with no pre-existing scratch. A clearly visible ice skate blade enters the frame and remains visible before contact. The ice skate blade scrapes across the ice after a short still beginning, causing a bright scratch line remains in the ice; the effect begins only after contact and remains visible for several frames. | ice skate blade | a bright scratch line remains in the ice
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a smooth ice surface, with no pre-existing scratch. A clearly visible ice skate blade enters the frame and remains visible before contact. The ice skate blade scrapes across the ice after the surface is shown clean, causing a bright scratch line remains in the ice; the effect begins only after contact and remains visible for several frames. | ice skate blade | a bright scratch line remains in the ice
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth ice surface, with no pre-existing scratch. A clearly visible ice skate blade enters the frame and remains visible before contact. The ice skate blade scrapes across the ice after the target is clearly visible, causing a bright scratch line remains in the ice; the effect begins only after contact and remains visible for several frames. | ice skate blade | a bright scratch line remains in the ice
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a smooth ice surface, with no pre-existing scratch. A clearly visible ice skate blade enters the frame and remains visible before contact. The ice skate blade scrapes across the ice only after the visible contact moment, causing a bright scratch line remains in the ice; the effect begins only after contact and remains visible for several frames. | ice skate blade | a bright scratch line remains in the ice
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with soft gray clay, with no pre-existing print. A clearly visible boot heel enters the frame and remains visible before contact. The boot heel steps down and lifts away in the middle of the clip, causing a deep heel print remains in the clay; the effect begins only after contact and remains visible for several frames. | boot heel | a deep heel print remains in the clay
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with soft gray clay, with no pre-existing print. A clearly visible boot heel enters the frame and remains visible before contact. The boot heel steps down and lifts away after a short still beginning, causing a deep heel print remains in the clay; the effect begins only after contact and remains visible for several frames. | boot heel | a deep heel print remains in the clay
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with soft gray clay, with no pre-existing print. A clearly visible boot heel enters the frame and remains visible before contact. The boot heel steps down and lifts away after the surface is shown clean, causing a deep heel print remains in the clay; the effect begins only after contact and remains visible for several frames. | boot heel | a deep heel print remains in the clay
A realistic fixed-camera close-up video from a side close-up view. The scene starts with soft gray clay, with no pre-existing print. A clearly visible boot heel enters the frame and remains visible before contact. The boot heel steps down and lifts away after the target is clearly visible, causing a deep heel print remains in the clay; the effect begins only after contact and remains visible for several frames. | boot heel | a deep heel print remains in the clay
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with soft gray clay, with no pre-existing print. A clearly visible boot heel enters the frame and remains visible before contact. The boot heel steps down and lifts away only after the visible contact moment, causing a deep heel print remains in the clay; the effect begins only after contact and remains visible for several frames. | boot heel | a deep heel print remains in the clay
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a clean blackboard, with no pre-existing chalk line. A clearly visible chalk stick enters the frame and remains visible before contact. The chalk stick moves across the board in the middle of the clip, causing a white chalk line remains on the blackboard; the effect begins only after contact and remains visible for several frames. | chalk stick | a white chalk line remains on the blackboard
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a clean blackboard, with no pre-existing chalk line. A clearly visible chalk stick enters the frame and remains visible before contact. The chalk stick moves across the board after a short still beginning, causing a white chalk line remains on the blackboard; the effect begins only after contact and remains visible for several frames. | chalk stick | a white chalk line remains on the blackboard
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a clean blackboard, with no pre-existing chalk line. A clearly visible chalk stick enters the frame and remains visible before contact. The chalk stick moves across the board after the surface is shown clean, causing a white chalk line remains on the blackboard; the effect begins only after contact and remains visible for several frames. | chalk stick | a white chalk line remains on the blackboard
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a clean blackboard, with no pre-existing chalk line. A clearly visible chalk stick enters the frame and remains visible before contact. The chalk stick moves across the board after the target is clearly visible, causing a white chalk line remains on the blackboard; the effect begins only after contact and remains visible for several frames. | chalk stick | a white chalk line remains on the blackboard
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean blackboard, with no pre-existing chalk line. A clearly visible chalk stick enters the frame and remains visible before contact. The chalk stick moves across the board only after the visible contact moment, causing a white chalk line remains on the blackboard; the effect begins only after contact and remains visible for several frames. | chalk stick | a white chalk line remains on the blackboard
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a black trampoline fabric surface, with no pre-existing dip or dent. A clearly visible orange basketball enters the frame and remains visible before contact. The orange basketball drops onto the fabric in the middle of the clip, causing the trampoline dips downward and rebounds; the effect begins only after contact and remains visible for several frames. | orange basketball | the trampoline dips downward and rebounds
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a black trampoline fabric surface, with no pre-existing dip or dent. A clearly visible orange basketball enters the frame and remains visible before contact. The orange basketball drops onto the fabric after a short still beginning, causing the trampoline dips downward and rebounds; the effect begins only after contact and remains visible for several frames. | orange basketball | the trampoline dips downward and rebounds
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a black trampoline fabric surface, with no pre-existing dip or dent. A clearly visible orange basketball enters the frame and remains visible before contact. The orange basketball drops onto the fabric after the surface is shown clean, causing the trampoline dips downward and rebounds; the effect begins only after contact and remains visible for several frames. | orange basketball | the trampoline dips downward and rebounds
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a black trampoline fabric surface, with no pre-existing dip or dent. A clearly visible orange basketball enters the frame and remains visible before contact. The orange basketball drops onto the fabric after the target is clearly visible, causing the trampoline dips downward and rebounds; the effect begins only after contact and remains visible for several frames. | orange basketball | the trampoline dips downward and rebounds
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a black trampoline fabric surface, with no pre-existing dip or dent. A clearly visible orange basketball enters the frame and remains visible before contact. The orange basketball drops onto the fabric only after the visible contact moment, causing the trampoline dips downward and rebounds; the effect begins only after contact and remains visible for several frames. | orange basketball | the trampoline dips downward and rebounds
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with the center of a tennis racket, with no pre-existing string bend. A clearly visible yellow tennis ball enters the frame and remains visible before contact. The yellow tennis ball hits the strings in the middle of the clip, causing the racket strings bend inward and rebound; the effect begins only after contact and remains visible for several frames. | yellow tennis ball | the racket strings bend inward and rebound
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with the center of a tennis racket, with no pre-existing string bend. A clearly visible yellow tennis ball enters the frame and remains visible before contact. The yellow tennis ball hits the strings after a short still beginning, causing the racket strings bend inward and rebound; the effect begins only after contact and remains visible for several frames. | yellow tennis ball | the racket strings bend inward and rebound
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with the center of a tennis racket, with no pre-existing string bend. A clearly visible yellow tennis ball enters the frame and remains visible before contact. The yellow tennis ball hits the strings after the surface is shown clean, causing the racket strings bend inward and rebound; the effect begins only after contact and remains visible for several frames. | yellow tennis ball | the racket strings bend inward and rebound
A realistic fixed-camera close-up video from a side close-up view. The scene starts with the center of a tennis racket, with no pre-existing string bend. A clearly visible yellow tennis ball enters the frame and remains visible before contact. The yellow tennis ball hits the strings after the target is clearly visible, causing the racket strings bend inward and rebound; the effect begins only after contact and remains visible for several frames. | yellow tennis ball | the racket strings bend inward and rebound
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with the center of a tennis racket, with no pre-existing string bend. A clearly visible yellow tennis ball enters the frame and remains visible before contact. The yellow tennis ball hits the strings only after the visible contact moment, causing the racket strings bend inward and rebound; the effect begins only after contact and remains visible for several frames. | yellow tennis ball | the racket strings bend inward and rebound
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a white goal net, with no pre-existing net stretch. A clearly visible soccer ball enters the frame and remains visible before contact. The soccer ball hits the center of the net in the middle of the clip, causing the net stretches backward and ripples; the effect begins only after contact and remains visible for several frames. | soccer ball | the net stretches backward and ripples
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white goal net, with no pre-existing net stretch. A clearly visible soccer ball enters the frame and remains visible before contact. The soccer ball hits the center of the net after a short still beginning, causing the net stretches backward and ripples; the effect begins only after contact and remains visible for several frames. | soccer ball | the net stretches backward and ripples
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a white goal net, with no pre-existing net stretch. A clearly visible soccer ball enters the frame and remains visible before contact. The soccer ball hits the center of the net after the surface is shown clean, causing the net stretches backward and ripples; the effect begins only after contact and remains visible for several frames. | soccer ball | the net stretches backward and ripples
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a white goal net, with no pre-existing net stretch. A clearly visible soccer ball enters the frame and remains visible before contact. The soccer ball hits the center of the net after the target is clearly visible, causing the net stretches backward and ripples; the effect begins only after contact and remains visible for several frames. | soccer ball | the net stretches backward and ripples
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a white goal net, with no pre-existing net stretch. A clearly visible soccer ball enters the frame and remains visible before contact. The soccer ball hits the center of the net only after the visible contact moment, causing the net stretches backward and ripples; the effect begins only after contact and remains visible for several frames. | soccer ball | the net stretches backward and ripples
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a red punching bag, with no pre-existing dent. A clearly visible gloved fist enters the frame and remains visible before contact. The gloved fist punches the bag in the middle of the clip, causing the bag dents inward and swings back; the effect begins only after contact and remains visible for several frames. | gloved fist | the bag dents inward and swings back
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a red punching bag, with no pre-existing dent. A clearly visible gloved fist enters the frame and remains visible before contact. The gloved fist punches the bag after a short still beginning, causing the bag dents inward and swings back; the effect begins only after contact and remains visible for several frames. | gloved fist | the bag dents inward and swings back
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a red punching bag, with no pre-existing dent. A clearly visible gloved fist enters the frame and remains visible before contact. The gloved fist punches the bag after the surface is shown clean, causing the bag dents inward and swings back; the effect begins only after contact and remains visible for several frames. | gloved fist | the bag dents inward and swings back
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a red punching bag, with no pre-existing dent. A clearly visible gloved fist enters the frame and remains visible before contact. The gloved fist punches the bag after the target is clearly visible, causing the bag dents inward and swings back; the effect begins only after contact and remains visible for several frames. | gloved fist | the bag dents inward and swings back
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a red punching bag, with no pre-existing dent. A clearly visible gloved fist enters the frame and remains visible before contact. The gloved fist punches the bag only after the visible contact moment, causing the bag dents inward and swings back; the effect begins only after contact and remains visible for several frames. | gloved fist | the bag dents inward and swings back
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a vertical coil spring, with no pre-existing compression. A clearly visible metal weight enters the frame and remains visible before contact. The metal weight drops onto the spring in the middle of the clip, causing the spring coils compress downward; the effect begins only after contact and remains visible for several frames. | metal weight | the spring coils compress downward
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a vertical coil spring, with no pre-existing compression. A clearly visible metal weight enters the frame and remains visible before contact. The metal weight drops onto the spring after a short still beginning, causing the spring coils compress downward; the effect begins only after contact and remains visible for several frames. | metal weight | the spring coils compress downward
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a vertical coil spring, with no pre-existing compression. A clearly visible metal weight enters the frame and remains visible before contact. The metal weight drops onto the spring after the surface is shown clean, causing the spring coils compress downward; the effect begins only after contact and remains visible for several frames. | metal weight | the spring coils compress downward
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a vertical coil spring, with no pre-existing compression. A clearly visible metal weight enters the frame and remains visible before contact. The metal weight drops onto the spring after the target is clearly visible, causing the spring coils compress downward; the effect begins only after contact and remains visible for several frames. | metal weight | the spring coils compress downward
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a vertical coil spring, with no pre-existing compression. A clearly visible metal weight enters the frame and remains visible before contact. The metal weight drops onto the spring only after the visible contact moment, causing the spring coils compress downward; the effect begins only after contact and remains visible for several frames. | metal weight | the spring coils compress downward
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a soft blue gel block, with no pre-existing dent. A clearly visible rubber ball enters the frame and remains visible before contact. The rubber ball presses into the gel in the middle of the clip, causing a round dent forms and slowly rebounds; the effect begins only after contact and remains visible for several frames. | rubber ball | a round dent forms and slowly rebounds
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a soft blue gel block, with no pre-existing dent. A clearly visible rubber ball enters the frame and remains visible before contact. The rubber ball presses into the gel after a short still beginning, causing a round dent forms and slowly rebounds; the effect begins only after contact and remains visible for several frames. | rubber ball | a round dent forms and slowly rebounds
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a soft blue gel block, with no pre-existing dent. A clearly visible rubber ball enters the frame and remains visible before contact. The rubber ball presses into the gel after the surface is shown clean, causing a round dent forms and slowly rebounds; the effect begins only after contact and remains visible for several frames. | rubber ball | a round dent forms and slowly rebounds
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a soft blue gel block, with no pre-existing dent. A clearly visible rubber ball enters the frame and remains visible before contact. The rubber ball presses into the gel after the target is clearly visible, causing a round dent forms and slowly rebounds; the effect begins only after contact and remains visible for several frames. | rubber ball | a round dent forms and slowly rebounds
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a soft blue gel block, with no pre-existing dent. A clearly visible rubber ball enters the frame and remains visible before contact. The rubber ball presses into the gel only after the visible contact moment, causing a round dent forms and slowly rebounds; the effect begins only after contact and remains visible for several frames. | rubber ball | a round dent forms and slowly rebounds
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a square foam block, with no pre-existing compression. A clearly visible book enters the frame and remains visible before contact. The book falls onto the block in the middle of the clip, causing the foam block compresses flat then rises; the effect begins only after contact and remains visible for several frames. | book | the foam block compresses flat then rises
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a square foam block, with no pre-existing compression. A clearly visible book enters the frame and remains visible before contact. The book falls onto the block after a short still beginning, causing the foam block compresses flat then rises; the effect begins only after contact and remains visible for several frames. | book | the foam block compresses flat then rises
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a square foam block, with no pre-existing compression. A clearly visible book enters the frame and remains visible before contact. The book falls onto the block after the surface is shown clean, causing the foam block compresses flat then rises; the effect begins only after contact and remains visible for several frames. | book | the foam block compresses flat then rises
